input_text,outcome
"Sections 3 and 5 of the Official Secrets Act, 1923, and Section 120-B of the Indian Penal Code, 1860.  The High Court quashed proceedings against the respondent due to perceived unnecessary trial delay, relying on  precedents regarding speedy trial. The Supreme Court reversed this, holding that the High Court erred in not considering all relevant factors contributing to the delay and prematurely determining the applicable legal provision and maximum sentence. The case was remitted to the High Court for a fresh hearing.","Judgment against petitioner (High Court's judgment quashed).  The Supreme Court reversed the High Court's decision.  Supporting case laws are not explicitly cited in the provided text but would likely include cases emphasizing the court's discretion in balancing speedy trial rights with the complexities of serious cases, and cases defining limits of High Court's power under Section 482 CrPC.  Finding suitable precedents requires additional research beyond the provided text."
"IPC sections not specified in the text.  Summary: The Supreme Court upheld the death sentence of Krishna Mochi and others for multiple murders committed during a caste war.  The court addressed the issue of relying on single witness testimony, emphasizing the quality over quantity of evidence and rejecting the 'falsus in uno falsus in omnibus' maxim.  The brutal nature of the crime and the large number of victims warranted the death penalty.","{'bail_granted': 'Not granted', 'judgment': 'Against petitioner', 'case_law_references': ['Masalti and Ors. v. State of Uttar Pradesh (AIR 1965 SC 202)', 'Anil Phukan v. State of Assam (AIR 1993 SC 1462)', 'Maqsoodan v. State of U.P. (AIR 1983 SC 126)']}"
"Sections of the Wildlife (Protection) Act, 1972, the Environment (Protection) Act, 1986, and the Mines and Minerals (Regulation and Development) Act, 1957, were relevant.  The case concerned mining activities in Kudremukh National Park, violating court orders. The court considered the Central Empowered Committee's recommendation to wind up operations within five years, subject to conditions including ecological restoration and compensation.","Judgment in favor of petitioner (partially). Mining allowed until the end of 2005, subject to conditions. 

Case law references supporting the outcome (using general principles as specific case details are limited in provided text):
1.  *M.C. Mehta v. Union of India* (AIR 1987 SC 965):  Highlights the need to balance development and environmental protection.
2. *Rural Litigation and Entitlement Kendra v. State of Uttar Pradesh* (AIR 1987 SC 359): Emphasizes sustainable resource use and long-term planning.
3. *M.C. Mehta v. Kamal Nath and Ors.* (1997 (1) SCC 388):  Supports the public trust doctrine, where the state is a trustee of natural resources."
"The case concerns the constitutional validity of the Fast Track Courts Scheme, challenged on grounds of lacking constitutional sanction for employing retired judges and inadequate infrastructure.  The Supreme Court addressed concerns about long-pending cases and upheld the scheme's objectives while issuing guidelines for appointments prioritizing eligible judicial officers, then retired judges with good records, and finally bar members.  The scheme's constitutionality was affirmed, emphasizing the High Court's role in implementation.","Judgment in favor of the respondent (Union of India). The court upheld the constitutional validity of the Fast Track Courts scheme. 

Case law references supporting the outcome are not explicitly cited in the provided text beyond the mentions of:
1. *All India Judges Association & Ors. v. Union of India & Ors.* (JT 2002 [3] SC 503)
2. *P. Ramachandra Rao v. State of Karnataka* (JT 2002 (4) SC 92)
3. *Supreme Court Advocates-on-Record Association and Ors. v. Union of India* [(1993) 4 SCC 441]

Note:  While these cases are mentioned, their direct relevance to the specific holding on the Fast Track Courts Scheme isn't fully detailed in this excerpt.  More information would be needed to provide fully relevant and precise case law support."
"IPC Sections 302, 304 Part I, 96, 97, 99, 100, 101, 102, 105.  Sekar was convicted for murder (Section 302 IPC) after a fight over a sheep.  The court found that while there was an altercation, the accused exceeded the right of private defense, reducing the conviction to culpable homicide not amounting to murder (Section 304 Part I IPC) and a 10-year sentence.","Judgment against petitioner (conviction reduced from Section 302 to Section 304 Part I IPC, and sentence reduced to 10 years).  
Case laws supporting the outcome are not explicitly cited in a list, but the judgment references several cases discussing the right of private defence and the burden of proof in such cases, including: 
1. Muashi Ram v. Delhi Administration, AIR (1968) SC 702
2. Salima Zia v. State of U.P., AIR (1979) SC 391
3. Lakshmi Singh v. State of Bihar, AIR (1976) SC 2263"
"IPC Sections 302, 149, and 148.  Accused-appellants convicted for murder (Section 302 read with 149 IPC) and rioting (Sections 148 and 324 read with 149 IPC).  The Supreme Court dismissed the appeal, upholding the High Court's judgment which had affirmed the conviction of 10 accused and acquitted the rest. The prosecution's case rested on eyewitness testimony regarding an altercation leading to murder.  The defense argued the witnesses were unreliable.","Judgment against petitioner. The Supreme Court upheld the convictions.  Supporting case law references (Illustrative - specifics may vary based on precise legal points):

1. *Dalip Singh and Ors. v. The State of Punjab* (AIR 1953 SC 364): Addresses the credibility of witnesses related to victims.
2. *Masalti and Ors. v. State of U.P.* (AIR 1965 SC 202):  Deals with the treatment of evidence from interested witnesses.
3. *State of U.P. v. Dan Singh and Ors.* (1997 (3) SCC 747): Concerns the application of Section 149 IPC regarding unlawful assemblies."
"IPC Sections 302, 458, and 324. Lehna was convicted of murdering his mother, brother, and sister-in-law.  The Supreme Court set aside the conviction under Section 458 but upheld the conviction under Section 302, modifying the death sentence to life imprisonment due to mitigating circumstances and lack of premeditation.","Judgment modified; death sentence under Section 302 IPC changed to life imprisonment.  
Case law references supporting modification of death sentence to life imprisonment (based on mitigating circumstances and the need for proportionality):
1. *Bachan Singh v. State of Punjab* (AIR 1980 SC 898)
2. *Machhi Singh & Ors. v. State of Punjab* (1983 (3) SCC 470)
3. *Ediga Anamma v. State of Andhra Pradesh* (AIR 1974 SC 799)"
"IPC Sections 302, 304 Part I, 34, 392, 120-B(1), 212, 411, and 25(1-B) of the Arms Act were involved.  The accused were initially convicted under Section 304 Part I and 392 IPC for culpable homicide not amounting to murder. The High Court upgraded the conviction to Section 302 IPC for murder, finding the accused intended to kill the victim during a robbery.","Judgment against petitioner (High Court upgraded conviction to murder).  Supporting case law references are not explicitly cited in the provided text.  To provide three supporting cases, further research would be needed to find cases confirming the legal principles applied here concerning the upgrade from culpable homicide to murder in cases of robbery where death results from resistance."
"IPC Sections 302 and 304 Part II.  Two boys were killed allegedly due to political rivalry. The trial court convicted the accused under Section 304 Part II, while the High Court amended it to Section 302. The Supreme Court overturned the High Court's decision, finding the appropriate charge to be Section 304 Part II.","Judgment in favor of petitioner (partially). The Supreme Court reduced the conviction from Section 302 to Section 304 Part II.  
Case law references supporting this outcome are not explicitly cited but the judgment extensively discusses the interpretation and application of Section 299 and 300 of the IPC, drawing upon legal principles and prior rulings to justify the decision.  Further research would be required to provide specific case law references beyond the internal references made within the judgment itself.  Note:  The outcome is partial as the conviction remains, but the sentence was changed."
"IPC sections not specified in the text.  Summary: The Supreme Court upheld the death sentence of Krishna Mochi and others for their involvement in multiple murders during a caste war. The court rejected the appellants' argument that conviction based on a single witness's testimony was insufficient, emphasizing that evidence should be assessed based on its quality, not quantity, and that the 'falsus in uno falsus in omnibus' maxim doesn't apply universally.","{'bail_granted': 'Not granted', 'judgment': 'Against petitioner', 'case_laws': ['Masalti and Ors. v. State of Uttar Pradesh (AIR 1965 SC 202)', 'Anil Phukan v. State of Assam (AIR 1993 SC 1462)', 'Maqsoodan v. State of U.P. (AIR 1983 SC 126)']}"
"IPC Sections 302, 304 Part I, 96, 97, 99, 100, 101, 102, 105.  Sekar was convicted for murder (Section 302 IPC) after a fight over a sheep.  The Supreme Court reduced the conviction to culpable homicide not amounting to murder (Section 304 Part I IPC) due to the absence of premeditation and the applicability of Exception IV to Section 300 IPC, considering the circumstances of a sudden quarrel and the accused exceeding the right of private defence.  Sentence reduced to 10 years imprisonment.","Judgment against petitioner (conviction reduced from Section 302 IPC to Section 304 Part I IPC, sentence reduced to 10 years).  
Case law references supporting reduction of sentence and consideration of mitigating circumstances in culpable homicide cases are not explicitly cited but would likely include cases focusing on:
1.  Exception 4 to Section 300 IPC (heat of passion)
2.  Cases dealing with the limits of the right of private defence (Sections 96-106 IPC)
3.  Cases emphasizing proportionality in sentencing for culpable homicide not amounting to murder."
"IPC Sections 302, 149, and 148.  The case involved an appeal against conviction for murder and rioting. The prosecution's case rested on eyewitness accounts of an altercation leading to a fatal assault. The defense argued that the eyewitnesses were biased and the evidence insufficient to convict under Section 149. The court upheld the conviction of some appellants, finding sufficient evidence to establish the common object of the unlawful assembly.","Judgment against petitioner (partially).  While some petitioners were acquitted, the appeal was dismissed for others, upholding their conviction.  Supporting case laws are not explicitly mentioned in the text but based on the judgment, supporting cases would likely include those concerning the application of Section 149 IPC (unlawful assembly), the assessment of eyewitness testimony, and the standard of proof beyond reasonable doubt in criminal cases.  Specific examples would require further research beyond the provided text. "
"Sections 363, 366, 376(2), 302, and 201 of the Indian Penal Code, 1860.  The accused was convicted for rape and murder of a child. The High Court acquitted him due to perceived weaknesses in circumstantial evidence, specifically questioning witness reliability and the lack of the accused's name in the initial FIR. The Supreme Court reversed the acquittal, finding the circumstantial evidence sufficient to prove guilt beyond reasonable doubt.","{'bail_granted': 'Not applicable', 'judgment': 'Judgment in favor of petitioner (State of U.P.)', 'case_law_references': ['Hukam Singh v. State of Rajasthan, AIR (1977) SC 1063', 'Bhagat Ram v. State of Punjab, AIR (1954) SC 621', 'Hanumant Govind Nargundkar v. State of M.P., AIR (1952) SC 343']}"
"IPC Sections 120(B), 420, 468, 471, and Section 13(2) and 13(1)(a) of the Prevention of Corruption Act, 1988.  The Orissa High Court quashed FIRs and proceedings against respondents accused of fraud and forgery related to land and Polytechnic institute establishment. The Supreme Court reversed the High Court's decision, finding the quashing unjustified as the investigation was incomplete.  The respondents were directed to cooperate with the ongoing investigation.","Bail was not granted (implied). The Supreme Court quashed the High Court's order quashing the FIRs and proceedings.  The investigation was ordered to continue. 

Case law references supporting the outcome:
1. R. P. Kapur v. State of Punjab AIR (1960) SC 866
2. State of Haryana v. Bhajan Lal, (1992) Supp 1 335
3. Jehan Singh v. Delhi Administration, AIR (1974) SC 1140"
"Sections 498A of the Indian Penal Code, 1860 (IPC) and 113-B of the Indian Evidence Act, 1872 were challenged.  The petitioner argued that Section 498A is misused to harass innocent individuals through false accusations. The court acknowledged the potential for abuse but upheld the constitutionality of Section 498A, emphasizing the need for courts to carefully consider each case and prevent misuse.  The court suggested legislative changes to address frivolous complaints.","Judgment against petitioner.  The court upheld the constitutionality of Section 498A of the IPC.  Case law references supporting this outcome are not explicitly cited in the provided text.  Further research would be needed to provide three relevant cases.  However, the judgment relies on established principles that mere possibility of abuse doesn't invalidate a law,  and that courts must determine each case on its merits."
"IPC Section 494 (Bigamy) is relevant to the husband's prior marriage.  The case concerns a woman seeking maintenance under CrPC Section 125.  The court ruled that, as the woman wasn't legally married, she wasn't entitled to maintenance, but the child's maintenance was increased. ","Judgment against petitioner (regarding wife's maintenance); child's maintenance enhanced. 

Case law references supporting the outcome (note:  finding precise supporting cases requires access to a legal database, but these are analogous principles):
1.  *Smt. Yamunabai Anantrao Adhav v. Anantrao Shivram Adhav and Anr.* (AIR 1988 SC 644):  Affirms that 'wife' in CrPC Section 125 means legally wedded wife.
2. *Dwarika Prasad Satpathy v. Bidyut Prava Dixit and Anr.* (AIR 1999 SC 3348): Addresses the standard of proof of marriage in Section 125 cases.
3. *Vimala (K.) v. Veeraswamy (K.)* (1991 (2) SCC 375):  Concerns the burden of proof on the respondent-husband regarding a subsisting marriage."
"IPC sections 406, 467, 468, 471, and 420.  The appellant, previously President of ISKCON's Calcutta branch, was accused of various offences after being suspended and removed.  He challenged the High Court's refusal to grant anticipatory bail under Section 438 of the CrPC. The Supreme Court upheld the High Court's rejection of the anticipatory bail plea, but directed the lower courts to expedite the bail application under Section 439 once the appellant surrendered.","Bail not granted (anticipatory bail under Section 438 CrPC rejected).  The Supreme Court directed the appellant to surrender and apply for bail under Section 439.  The Court's decision aligns with the principles established in:

1. *Gur Baksh Singh v. State of Punjab* 1980(2) SCC 565 (Concerning the nature of anticipatory bail)
2. *Salauddin Abdulsamad Shaikh v. State of Maharashtra* AIR 1996 SC 1042 (Regarding the limited duration of anticipatory bail)
3. *Nirmal Jeet Kaur v. State of M.P. and Another* 2004 (7) SCC 558 (Clarifying the interplay between Sections 438 and 439 CrPC)"
"IPC Section 304-B and Section 113B of the Indian Evidence Act, 1872.  The case involved the appeal of a conviction for dowry death. The court considered evidence of dowry demands, ill-treatment of the deceased, and the circumstances of her death. The prosecution successfully argued that the death was not natural, fulfilling the requirements of Section 304-B.","Bail was not granted; Judgment against the petitioner. 
Case law references supporting this outcome are not explicitly cited in the provided text.  To provide three supporting references would require extensive legal research beyond the scope of this response.  Further research using the IPC sections and relevant keywords would be needed to find supporting case law."
"IPC Sections 302, 149, 147, 148. Seven appellants were convicted under Section 302 IPC read with Section 149 IPC for murder committed as part of an unlawful assembly.  The court found sufficient evidence to establish a common object, despite the appellants' claims of lack of common intention and discrepancies in witness testimonies. The court rejected the defense arguments relating to procedural irregularities and lack of evidence regarding the common object.","Bail not granted; judgment against petitioner.  Supporting case laws are not explicitly mentioned in the provided text but based on the judgment's reasoning, potential supporting case laws would focus on the principles of unlawful assembly and constructive liability under Section 149 IPC.  Further research is needed to identify specific cases, as the provided text only cites *Chikkarange Gowda and others v. State of Mysore* AIR 1956 SC 731 and *Chandra & Ors. v. State of U.P. and Anr.* [2004 (5) SCC 141] in a general discussion of Section 149, but not as direct precedents for the outcome.  Therefore, case law references are: Not available."
"IPC Sections 450, 376(1)/109(1): The case involved rape and criminal trespass.  The Madhya Pradesh High Court reduced the sentences of Munna Choubey and Ghanshyam, convicted under these sections, to time served. The Supreme Court reversed this, holding that the High Court's reasoning (rural background) was insufficient to justify the sentence reduction for such serious offenses.","Bail was not granted; judgment was against the petitioner (High Court's decision was overturned).  Case law supporting the Supreme Court's decision to uphold the original sentence (and not reduce it based on insufficient reasoning) is not explicitly cited in the provided text, but the judgment references several principles from previous cases.  Three potential supporting cases based on the judgment's principles would be:

1. *Mahesh v. State of M.P.* (1987) 2 SCR 710 (principles of proportionate sentencing and public confidence in justice)
2. *Sevaka Perumal etc. v. State of Tamil Naidu* (AIR 1991 SC 1463) (principles of proportionality in sentencing)
3. *State of M.P. v. Ghanshyam Singh* (2003(8) SCC 13) (principles regarding minimum sentences and adequate reasons for reduction)."
"IPC Sections 323, 325, 326, and 34.  Harbans Kaur and Mitta Singh were convicted for causing grievous injuries resulting in death. The Supreme Court upheld the conviction, modifying the sentence for Section 326 from 7 years to 4 years. The court found the prosecution's evidence credible despite the delay in filing the FIR and familial relationships between witnesses and victim.","Judgment against petitioner (conviction upheld, sentence modified).  
Case law references supporting this outcome are not explicitly listed, but the judgment cites and relies on principles established in:
1. Ashok Kumar v. State of Punjab (AIR 1977 SC 109)
2. Mahbub Shah v. Emperor (AIR 1945 Privy Council 118)
3. Ch. Pulla Reddy and Ors. v. State of Andhra Pradesh (AIR 1993 SC 1899)"
"IPC Sections 324, 34, 504, 506(2) were involved.  Anwarul Haq was convicted under Section 324 IPC for causing hurt with a knife. The Supreme Court upheld the conviction, rejecting arguments about unreliable eyewitness testimony and the lack of weapon recovery. The court emphasized that the nature of the instrument, not the manner of use, determines if it's a dangerous weapon under Section 324.","{'bail_granted': 'Not applicable (Conviction upheld)', 'case_law': ['Not available', 'Not available', 'Not available']}"
"IPC Section 376: Rape. The High Court reduced the sentence for rape from seven years to time served (11 months) based on the accused being an illiterate, young laborer. The Supreme Court reversed this, stating the reason was insufficient and that the High Court must reconsider the sentence based on adequate and special reasons, considering the gravity of the crime and the need for proportionate punishment.","Bail was not granted. Judgment against petitioner (High Court's reduction of sentence was overturned).  Case law references supporting this outcome are not explicitly cited in the provided text but based on the judgment, the following are relevant principles supported by numerous Supreme Court cases:
1.  Proportionality in sentencing: Punishment must fit the crime considering its gravity and societal impact.  
2.  Need for adequate and special reasons to deviate from minimum sentence:  A court cannot reduce sentences based on arbitrary or insufficient reasons. 
3.  Deterrent sentencing: Sentences should deter similar crimes and reflect society's abhorrence of the crime."
"IPC sections involved are not explicitly mentioned, but the case revolves around the applicability of Section 197 of the Code of Criminal Procedure, 1973, concerning sanction for prosecuting a public servant for an offence allegedly committed while discharging official duty.  The case involved appeals challenging the High Court's decision regarding the applicability of Section 197 in three separate cases. The High Court held that a reasonable connection must exist between the alleged act and the discharge of official duty for Section 197 to apply.","Bail or judgment details are not explicitly mentioned in this case text. The Supreme Court disposed of the appeals, upholding the High Court's decision regarding the applicability of Section 197 of the CrPC.  Case laws supporting this would likely include:

1. *Bakhshish Singh Brar v. Smt. Gurmej Kaur and Anr.* (AIR 1988 SC 257)
2. *P. Arulswami v. State of Madras* (AIR 1967 SC 776)
3. *State of H.P. v. M.P. Gupta* (2004 (2) SCC 349)"
"IPC sections not mentioned.  The case concerns the legality of the appointment of Sunil Kumar Singh as an Extra Departmental Delivery Agent (EDDA).  Singh's appointment was challenged due to his involvement in a criminal case, which later resulted in an acquittal. The courts initially set aside the appointment, but the Supreme Court remanded the case for reconsideration, noting the acquittal and the lack of independent examination of Singh's continued suitability.","The Supreme Court remanded the case to the High Court for reconsideration.  Bail was initially denied, then granted to the petitioner in the underlying criminal case.  Supporting case laws are not explicitly cited in this judgment and would require additional research based on the principles applied in this case (e.g., cases on judicial review of administrative decisions, the implications of an acquittal on employment decisions, and principles of natural justice).  Therefore, case law references are: Not available"
"IPC Sections 325, 326: The case involved an appeal against a conviction under Section 326 IPC for voluntarily causing grievous hurt by dangerous weapons. The Supreme Court found that while grievous hurt was caused, the weapon (a stone) didn't qualify as a dangerous weapon under Section 326. The conviction was altered to Section 325 IPC, and considering the time already served, the appellant was released.","Bail granted.  Case law references supporting the outcome are not explicitly cited in the provided text.  To provide three relevant case law references, further research would be needed based on the specific points of law involved (e.g., definition of 'dangerous weapon', sentencing considerations, interpretation of IPC sections 325 and 326).  Therefore,  'Not available' is returned for this section."
"Sections 302, 364, 201, 34, and 120B of the Indian Penal Code (IPC) were involved.  The case concerned whether the Juvenile Justice (Care and Protection of Children) Act, 2000 applied to a respondent accused of crimes committed before the Act's implementation date. The court determined that the 1986 Act applied, as the respondent was over 16 at the time of the offense, and the 2000 Act is prospective.  The High Court's decision to apply the 2000 Act was overturned.","Judgment against petitioner.  The High Court's application of the Juvenile Justice Act, 2000 was overturned.  Supporting case law is not explicitly listed, but the judgment heavily relies on and cites *Pratap Singh v. State of Jharkhand and Anr*. (JT 2005(2) SC 271), as well as using interpretations and principles from *Bhavnagar University v. Palitana Sugar Mill (P) Ltd. and Ors*. (JT 2002 (10) SC 55), and *ITW Signode India Ltd. v. Collector of Central Excise* (JT 2004 (6) SC 456).  A third case to support this outcome is not readily available from this case text.  Additional research may provide further supporting precedents."
"Sections 148, 302, 452, 506, 323, and 149 of the Indian Penal Code (IPC) were invoked. The case involved an appeal against the High Court's dismissal of an application under Section 378(3) of the Criminal Procedure Code.  The High Court upheld the trial court's verdict, convicting some accused under various IPC sections while acquitting others. The Supreme Court found the High Court's dismissal lacked reasoning, setting aside the order and directing a rehearing of the appeal.","Judgment against petitioner (State of Haryana). The High Court's order was set aside due to lack of reasoning.  The Supreme Court mandated a rehearing.  Supporting case laws are:
1. State of U.P. v. Battan and Ors (2001 (10) SCC 607)
2. State of Maharashtra v. Vithal Rao Pritirao Chawan (AIR 1982 SC 1215)
3. Jawahar Lal Singh v. Naresh Singh and Ors. (1987 (2) SCC 222)"
"No specific IPC sections are mentioned.  The case concerns the legality of an appointment as an Extra Departmental Delivery Agent (EDDA)/Extra Departmental Mail Carrier (EDMC) which was revoked due to the appellant's involvement in a criminal case, later resulting in an acquittal. The courts initially upheld the revocation, but the Supreme Court remanded the case for reconsideration, noting the acquittal and the lack of independent assessment of the appellant's suitability by the authorities.","The Supreme Court of India remanded the case for reconsideration by the High Court. Bail is not relevant to this case as it concerned employment not criminal proceedings.  Case law references supporting this outcome are not directly cited in the provided text, and finding relevant precedents requires extensive legal research beyond the scope of this response. Therefore, case law references are: Not available"
"No specific IPC sections are mentioned.  The case concerns the legality of an appointment as an Extra Departmental Delivery Agent (EDDA)/Extra Departmental Mail Carrier (EDMC). The appellant's appointment was challenged due to his involvement in a criminal case (kidnapping), which resulted in his acquittal. The courts below set aside the appointment, citing the possibility of criminalization of the government office. The Supreme Court remanded the case for reconsideration, noting the acquittal and the fact that the authorities did not terminate the appointment independently before the CAT order.","Judgment in favor of petitioner (remanding the case for reconsideration).  While no direct case law references are provided within the text, the outcome is supported by general principles of administrative law, requiring proper consideration of all relevant facts, including subsequent acquittals.  Relevant case laws supporting a similar principle of administrative justice, focusing on fair process and reconsideration of facts, would need to be researched separately and would vary depending on jurisdiction and specific legal arguments.  Examples (hypothetical and require verification): 
1.  [Hypothetical Case:  State v. X, focusing on the importance of considering all evidence in administrative decisions.]
2.  [Hypothetical Case: Y v. Z, upholding the right to fair hearing in administrative proceedings.]
3. [Hypothetical Case: A v. B, dealing with the consequences of an acquittal on administrative actions.]"
"Sections 294, 307, 333, and 506(II) of the IPC were involved.  The accused were convicted for attempt to murder (Sec 307) and voluntarily causing hurt to a public servant (Sec 333). The High Court reduced the sentence to time served, ignoring the seriousness of the offenses. The Supreme Court reversed this, emphasizing the gravity of the crimes and the need for appropriate sentencing.","Bail was not granted; the High Court's judgment was reversed. The Supreme Court remanded the case for resentencing. 
Case law references supporting the outcome:
1. *Sevaka Perumal etc. v. State of Tamil Naidu*, AIR (1991) SC 1463 (emphasizes appropriate sentencing considering the nature of the offense)
2. *State of Maharashtra v. Balram Bama Patil and Ors.*, [1983] 2 SCC 28 (addresses Section 307 IPC and intent)
3. *Sarju Prasad v. State of Bihar*, AIR (1965) SC 843 (discusses Section 307 IPC and the nature of injury)"
"Sections 138 of the Negotiable Instruments Act, 1881, and sections 420 and 114 of the Indian Penal Code, 1860, were involved.  The case concerned appeals against a High Court judgment refusing to quash proceedings initiated against appellants for alleged offences related to dishonored cheques issued by a company. The appellants argued insufficient evidence to implicate them under Section 141 of the Negotiable Instruments Act. The court held that these issues were to be decided during trial.","{'bail_granted': 'Not applicable', 'judgment': 'Judgment against petitioner', 'case_laws': ['Not available', 'Not available', 'Not available']}"
